Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
RPS3A,-1.051686757,9.105281561,15.78854354,0.000236943,0.004451319,2.473053316,441,2.351511321,Downregulated
CHMP5,1.139121869,7.171513418,14.18735117,0.00045188,0.006751267,2.472594721,442,2.170614742,Upregulated
SORCS3,-1.31318966,0.518534432,11.79772015,0.001234912,0.013192261,2.46837733,443,1.879680754,Downregulated
WDFY1,1.076216042,7.372569456,15.21137032,0.000298346,0.005159682,2.461711849,444,2.287377026,Upregulated
XCL1,-1.3236793,1.748352917,11.62446746,0.001327795,0.013875513,2.459066478,445,1.857750951,Downregulated
BACE2,-1.121599805,2.706333528,14.31221735,0.00042944,0.006526113,2.451082985,446,2.185345409,Downregulated
CHST8,1.545593224,-2.064140767,9.467855132,0.003343789,0.026131434,2.446421757,447,1.582836752,Upregulated
NFKBIA,1.701197524,9.040609449,8.410449884,0.005611873,0.036663504,2.44252162,448,1.435766033,Upregulated
OLFML2B,1.141231812,0.438345564,13.94505651,0.000500518,0.007253104,2.441638212,449,2.139476123,Upregulated
KLRB1,-1.075127132,5.72470151,14.94845293,0.000331645,0.005480558,2.431050841,450,2.26117523,Downregulated
MAP2K6,1.173163588,5.05369558,13.33193551,0.000643366,0.008553062,2.425959649,451,2.067878404,Upregulated
KCNJ10,1.715397969,-0.136624655,8.192138939,0.006236993,0.039119953,2.414597055,452,1.407601676,Upregulated
SPHK1,1.015854916,0.896100667,15.91562373,0.000225661,0.004300184,2.404033829,453,2.366512964,Upregulated
MT1F,1.178079378,0.919762653,13.05981403,0.000721698,0.009223853,2.397494777,454,2.035087636,Upregulated
GNAT2,-1.042829708,1.745641197,15.34171494,0.000283311,0.005030667,2.39681317,455,2.298374462,Downregulated
NPIPB5,1.298739759,5.492515731,11.51753132,0.001390092,0.014329434,2.394578667,456,1.843770971,Upregulated
MELK,1.228262961,0.308869741,12.28867517,0.001001175,0.011336405,2.38961584,457,1.945524628,Upregulated
PPARGC1A,-1.44590407,-1.941163261,9.975885115,0.002646295,0.022260827,2.389296779,458,1.652458713,Downregulated
APOBEC3B,1.731545474,1.96882205,7.973871434,0.006890088,0.041746234,2.388463872,459,1.379382701,Upregulated
CCM2L,1.350223721,-1.898034682,10.88078506,0.001806622,0.017188789,2.382813696,460,1.764754729,Upregulated
NEURL3,1.522819316,-1.295109742,9.394697233,0.00358953,0.027245441,2.382764753,461,1.564706152,Upregulated
GBP6,1.585520488,2.636120691,8.859459645,0.004556626,0.031910015,2.372054383,462,1.496072994,Upregulated
SP2,1.138052203,5.960330157,13.45026531,0.000612456,0.008309139,2.367653847,463,2.080443973,Upregulated
TEK,-1.291209291,-0.055730628,11.45366629,0.001437555,0.014698694,2.366426691,464,1.832721239,Downregulated
RAB39A,1.128102211,2.521233928,13.55945607,0.000585391,0.008116038,2.358473589,465,2.09065594,Upregulated
MYBPC3,1.064334597,4.649865807,14.5168499,0.000395017,0.006122075,2.355480324,466,2.213101342,Upregulated
SPI1,1.220134541,8.220032344,12.15683653,0.001056022,0.011796541,2.352718707,467,1.928245311,Upregulated
GPD2,1.011136187,6.222767177,15.51522523,0.00026418,0.004806623,2.343975434,468,2.31815997,Upregulated
NUB1,1.007976276,7.804653159,15.52703,0.000262938,0.004792932,2.337898916,469,2.319398752,Upregulated
STON1-GTF2A1L,-1.035504556,-1.623306549,14.82811068,0.000347774,0.005592165,2.332391204,470,2.252420032,Downregulated
PTPRH,1.264665362,-1.364916476,11.54965275,0.001388035,0.014324695,2.331934961,471,1.843914628,Upregulated
PIAS4,1.024896654,4.018560293,15.09530802,0.000312597,0.005322965,2.330457567,472,2.273846401,Upregulated
PRR36,1.655948361,-1.873641507,8.146342278,0.00626444,0.039247308,2.328578227,473,1.406190122,Upregulated
CDHR4,1.28433198,-1.888427823,11.2357927,0.001550894,0.01545309,2.325905524,474,1.810984668,Upregulated
PPP1R15A,1.417895975,8.727544221,9.938350499,0.002788546,0.023018938,2.322392687,475,1.637914719,Upregulated
SCAND1,1.149376328,1.497195822,12.81684956,0.000798656,0.009831092,2.307256,476,2.007398224,Upregulated
TTK,1.037700913,0.483649137,14.58006874,0.000386022,0.006024844,2.303752269,477,2.220054198,Upregulated
RPA4,1.221662901,-0.893172515,11.84905193,0.001220728,0.013117885,2.299335953,478,1.882136186,Upregulated
PDE6H,-1.053223041,-2.102372992,14.02929492,0.000447725,0.006710807,2.288890919,479,2.173225262,Downregulated
G0S2,1.716028827,5.596685223,7.579551952,0.008308458,0.046680603,2.283800211,480,1.330863547,Upregulated
CENPA,1.213877892,-1.297141232,11.78656586,0.00125547,0.013277449,2.278309636,481,1.876885354,Upregulated
COL1A1,1.483191809,-1.970911177,9.037866499,0.004109689,0.029601347,2.2673383,482,1.528688526,Upregulated
