Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category,-log10(P)
HLA-DRB1,-1.7855875280000002,7.992138337,35.83013874,1.25e-07,6.543787425149701e-07,11.04237828213933,716,5.587402315,Downregulated,6.184170817158244
CHD7,1.9403561280000001,5.842291088,31.25683714,5.69e-07,2.0513329896907218e-06,11.036675484174975,717,5.103231771,Upregulated,5.687963835561929
CYYR1,2.6143174819999997,2.098670307,19.91159471,3.6e-05,6.0034334763948504e-05,11.036603459479968,718,3.715266176,Upregulated,4.221600297388812
SRRM5,-1.5669528940000002,1.082482168,44.38729791,9.270000000000001e-09,9.080445378151262e-08,11.034314380010217,719,6.440251508999999,Downregulated,7.041892849658451
ADAMTS3,3.9469913269999997,0.18431801399999997,11.03121355,0.001429889,0.0016021537433514898,11.033008323086355,720,2.432052355,Upregulated,2.7952958111697304
CD5,-1.839989892,4.30443659,33.92554889,2.33e-07,1.037963057324841e-06,11.01016482584099,721,5.389572632,Downregulated,5.983818103409988
ABHD14A,-1.766649095,1.886004663,36.08940867,1.1599999999999999e-07,6.164924012158055e-07,10.971018559350826,722,5.612452933999999,Downregulated,6.2100722720777926
VPS51,-1.737187222,4.767801115,37.06980778,8.43e-08,4.864638613861386e-07,10.966775060748297,723,5.716379043,Downregulated,6.312949417232299
TYSND1,-1.435926258,3.357133798,51.0340755,1.35e-09,2.3371039603960396e-08,10.958015598025836,724,7.031167206,Downregulated,7.631321968642373
WNT10B,-1.8125082330000002,1.276872141,34.529565399999996,1.95e-07,9.031986754966888e-07,10.955192545208991,725,5.449297333,Downregulated,6.044216707957426
BICDL1,-1.660010925,2.513020415,39.85118989,3.54e-08,2.563018633540373e-07,10.941544081838337,726,5.990981668,Downregulated,6.5912482364164795
TESPA1,-1.742814155,4.348623498,36.64266702,9.66e-08,5.362066666666667e-07,10.928608586984806,727,5.675576331,Downregulated,6.270667790728844
SIGLEC8,-2.660035063,1.1907158279999999,19.15695145,4.8899999999999996e-05,7.808369863013698e-05,10.92593341741881,728,3.611289695,Downregulated,4.107439623407253
PVRIG,-1.591024936,2.534532954,42.40382409,1.63e-08,1.4179378109452737e-07,10.895884191123155,729,6.246043599,Downregulated,6.848342816371267
GINS4,1.53021076,1.373812562,45.23406258,7.1400000000000006e-09,7.612371951219513e-08,10.892774690272898,730,6.517208269,Upregulated,7.11847999962626
RGS18,1.9218101440000002,9.341704513,31.06818367,6.070000000000001e-07,2.150637284701115e-06,10.891729901758794,731,5.083327804,Upregulated,5.667432829285135
