Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category,-log10(P)
HDHD3,-1.098432925,3.234783648,20.3089369,2.99e-05,8.609053833605219e-05,4.465178804387486,981,3.36521025,Downregulated,4.065044576470144
GATD3,-1.018486098,4.40830411,23.34811214,9.28e-06,4.1890537084398975e-05,4.458814065430685,982,3.625137829,Downregulated,4.377884071453163
MYL6B,-1.058024592,4.987218715,21.65370777,1.77e-05,6.113600782778865e-05,4.4582013170262185,983,3.488311522,Downregulated,4.213702924049064
LMBRD2,1.024228068,3.9160595110000003,23.06580832,1.0300000000000001e-05,4.45575980392157e-05,4.456496447858181,984,3.605215479,Upregulated,4.3510782286608665
ABI3,-1.095938164,5.166734504,20.31741185,2.98e-05,8.594281045751634e-05,4.455854919168465,985,3.3662611669999998,Downregulated,4.0657904483454645
IGSF9B,-1.244294204,-0.342605844,16.41371294,0.00014686700000000002,0.0002650513854805726,4.450429652671084,986,2.95955136,Downregulated,3.576669921281
SMG1,1.105415753,7.015230682,19.96124758,3.43e-05,9.429828660436138e-05,4.44984691124491,987,3.332184227,Upregulated,4.025496198302242
ILVBL,-1.208169955,3.13020371,17.11393476,0.00010811,0.00020831239082969434,4.4476178078627004,988,3.0457636580000003,Downregulated,3.6812848965961087
ZGPAT,-1.085166956,4.443099001,20.61141375,2.6600000000000003e-05,7.970967741935486e-05,4.447544776369804,989,3.3932810439999996,Downregulated,4.098488948432193
NBEAL1,-1.051062192,6.429495884,21.78847254,1.6800000000000002e-05,5.883333333333334e-05,4.446388844368694,990,3.5006911689999995,Downregulated,4.230376544995821
DOK7,-1.4245410269999998,-1.924511971,13.11976129,0.000535322,0.0007613564302981465,4.442305804496317,991,2.5885072609999997,Downregulated,3.118411979928408
H1-10,-1.264373156,4.408213628,15.89541467,0.000179405,0.00030832504868549175,4.4392030131708395,992,2.90826021,Downregulated,3.5109911912514846
NDUFA11,-1.325967159,4.839364869,14.80177845,0.000285083,0.000448859495985727,4.439191638396015,993,2.7794311730000003,Downregulated,3.3478895825322743
LAMTOR2,-1.08205721,5.2905031739999995,20.62369714,2.64e-05,7.937989778534924e-05,4.436747778315839,994,3.39445132,Downregulated,4.100289464653942
CHCHD6,-1.246182207,0.517455554,16.22692844,0.000157379,0.00027888949297188753,4.4296392048327045,995,2.94320325,Downregulated,3.5545678472624065
MFSD10,-1.191740166,3.986325635,17.39266575,9.640000000000001e-05,0.00019247285067873306,4.428066134351695,996,3.073380375,Downregulated,3.7156305213864007
YDJC,-1.100317641,2.472763161,19.93676559,3.46e-05,9.48276397515528e-05,4.42664945513587,997,3.3293744889999997,Downregulated,4.023065058843194
NOS3,-1.232531267,-0.142417725,16.5102038,0.000140868,0.00025632167010309275,4.4262843745245135,998,2.972162523,Downregulated,3.5912146758744363
SLC66A2,-1.146834346,4.443400093999999,18.48634483,6.18e-05,0.0001382471482889734,4.426028043960194,999,3.196750915,Downregulated,3.859343818396763
CIAO3,-1.120359229,3.0646531280000002,19.27578354,4.5e-05,0.00011218220338983052,4.42550414015714,1000,3.272635779,Downregulated,3.950076034190584
IER5L,-1.07554216,-0.10289548400000001,20.79563008,2.52e-05,7.681865284974094e-05,4.4253540470948005,1001,3.4070710230000003,Downregulated,4.114533313222051
ATAD2B,1.066956482,4.638962852,21.134231600000003,2.17e-05,7.119052044609665e-05,4.425285052552221,1002,3.439453358,Upregulated,4.147577832094019
NUDT8,-1.398143822,-0.801126131,13.652866399999999,0.00047231300000000003,0.0006855529975328948,4.423669681231721,1003,2.625310175,Downregulated,3.1639589658979452
GIPC1,-1.224321226,2.987140645,16.59753433,0.000133852,0.0002468639289446186,4.416790689091245,1004,2.9864089189999996,Downregulated,3.6075423633072297
RPL39,-1.120651193,9.080452794,19.19364953,4.6500000000000005e-05,0.00011462639664804471,4.416167369114573,1005,3.264619645,Downregulated,3.9407153596940603
SLC39A13,-1.0146925759999998,3.636503498,23.08509433,1.0300000000000001e-05,4.444865525672372e-05,4.416085541472371,1006,3.60689754,Downregulated,4.352141373578328
TIGD5,-1.190902725,1.6236569719999998,17.32249741,9.940000000000002e-05,0.00019646248600223968,4.41434338321448,1007,3.0672873330000003,Downregulated,3.7067203647673916
RPL24,-1.010014865,8.485224416,23.23954574,9.67e-06,4.282005012531329e-05,4.412101292505856,1008,3.619037542,Downregulated,4.368352828654513
NCR1,1.196585155,2.312159001,17.15587473,0.000106317,0.00020598189352360045,4.410817442164724,1009,3.048868695,Upregulated,3.6861709538463434
ST7L,1.159545764,4.14402914,18.07886849,7.290000000000001e-05,0.0001578754601226994,4.408228167653822,1010,3.146216843,Upregulated,3.8016853706981606
PRRG4,1.30000052,5.741629156,15.07946879,0.000253255,0.000407099339708561,4.407391245582321,1011,2.811411174,Upregulated,3.390299602020406
SH3BP1,-1.0026706570000001,5.508027915,23.52167432,8.69e-06,4.079215425531915e-05,4.401146002974177,1012,3.631934264,Downregulated,4.389423358755153
RGS13,1.6468649640000002,-1.72001552,10.59535293,0.00174078,0.002127753947368421,4.40055261935234,1013,2.223009635,Upregulated,2.672078595116885
TIMM13,-1.314271135,3.352012124,14.79684812,0.000285716,0.0004490549777382012,4.3997861162303025,1014,2.77900028,Downregulated,3.347700485128818
JMJD8,-1.1279039929999999,4.735875686,18.81107762,5.42e-05,0.00012587236842105263,4.398904070327234,1015,3.2309551219999997,Downregulated,3.900069596018563
NAGPA,-1.065239397,3.5016332589999997,20.90670014,2.37e-05,7.48309481216458e-05,4.395091203613899,1016,3.41848776,Downregulated,4.1259187521524785
MAML2,1.123388468,4.742187887,18.90784548,5.21e-05,0.00012260866666666668,4.394110210861915,1017,3.238853555,Upregulated,3.9114788303683343
RPL3,-1.127809681,10.24683809,18.78225166,5.479999999999999e-05,0.00012709855453350852,4.393787934235373,1018,3.2268177560000004,Downregulated,3.8958593885623625
ACTL10,-1.325307277,-0.34813289299999994,14.626374199999999,0.000311593,0.0004841211663732394,4.393454493365476,1019,2.7532464780000003,Downregulated,3.3150459290547425
CEP152,1.064591766,2.687881579,20.92006661,2.35e-05,7.473423423423423e-05,4.393017068246204,1020,3.418837077,Upregulated,4.1264804111270985
ATOX1,-1.130016985,4.407767253,18.70543114,5.660000000000001e-05,0.00012990767230169054,4.391658684657832,1021,3.219434988,Downregulated,3.886365198889318
NR4A1,-1.420070376,2.707287271,13.17568326,0.000576758,0.0008130621109337591,4.387841766168172,1022,2.565999848,Downregulated,3.089876276785435
RPS12,-1.213290905,9.615527519,16.63780439,0.000131603,0.00024373483210912906,4.383720016657545,1023,2.9906717339999997,Downregulated,3.6130824014192577
YJU2,-1.018854255,3.3783173289999997,22.47309319,1.29e-05,5.026158940397351e-05,4.3798137705201405,1024,3.563616932,Downregulated,4.2987637819897415
MCF2,1.1795412509999998,-0.070653232,17.32852018,0.000100255,0.0001974889229910714,4.369560149101052,1025,3.0648634610000003,Upregulated,3.7044572586135462
FBXW5,-1.228660357,5.229534295,16.21366569,0.00015701799999999998,0.0002785294170854271,4.368045979998688,1026,2.943095314,Downregulated,3.555128929742695
