Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
C19orf73,-1.482535484,-1.614911241,25.06654806,3.62E-06,3.30E-05,6.644178445,1423,4.481631985,Downregulated
CCR7,-1.764464873,5.316200457,20.26439963,3.12E-05,0.000172874,6.638395911,1425,3.762271504,Downregulated
ZNRF3,-1.172684813,-0.317974563,36.63669438,1.01E-07,2.20E-06,6.635473715,1426,5.658360746,Downregulated
SEMA4C,-1.328072218,2.236577299,30.2611635,8.03E-07,1.02E-05,6.631370997,1428,4.993230721,Downregulated
LOC102724023,-1.232976058,4.27818658,33.76173214,2.46E-07,4.25E-06,6.623495478,1430,5.371957903,Downregulated
FAU,-1.410871538,8.424793007,27.70230447,1.95E-06,2.02E-05,6.622637892,1431,4.694004886,Downregulated
ECHS1,-1.290063541,4.234935506,31.5004348,5.24E-07,7.42E-06,6.617710383,1433,5.129755376,Downregulated
ZDHHC14,-1.300864925,0.509132832,31.19113927,6.01E-07,8.19E-06,6.616915689,1434,5.086550925,Downregulated
PLSCR3,-1.312117319,3.727345397,30.68931011,6.91E-07,9.10E-06,6.614258804,1435,5.040905038,Downregulated
HSD11B1L,-1.404585023,-0.442700155,27.85792211,1.89E-06,1.97E-05,6.609368328,1437,4.705566569,Downregulated
LLGL2,-1.38876256,2.231375713,28.22225614,1.63E-06,1.75E-05,6.604592801,1438,4.755739384,Downregulated
LIMD2,-1.253223663,8.570137193,32.77519546,3.41E-07,5.38E-06,6.603910914,1439,5.269538956,Downregulated
NRP1,-1.543212309,-0.78771687,24.23363924,6.70E-06,5.28E-05,6.600358434,1440,4.277025524,Downregulated
ZNF668,-1.517495446,1.053844974,24.90728848,5.44E-06,4.50E-05,6.596281641,1441,4.346821375,Downregulated
ZFP82,-1.199733202,1.193679558,34.92306346,1.71E-07,3.19E-06,6.593952952,1442,5.496182769,Downregulated
ATF5,-1.178619363,2.728694114,35.75175412,1.29E-07,2.63E-06,6.577488384,1447,5.580672259,Downregulated
ATRIP,-1.325728447,3.620077645,29.97325023,8.84E-07,1.09E-05,6.577244034,1448,4.961230218,Downregulated
CRB2,-1.400529461,2.174123562,27.72762883,1.94E-06,2.02E-05,6.575777592,1449,4.695208332,Downregulated
FIZ1,-1.05303279,2.661239054,42.35398898,1.65E-08,5.71E-07,6.574286394,1450,6.24319248,Downregulated
PCYT2,-1.308183973,3.471321288,30.54313099,7.27E-07,9.44E-06,6.573646918,1451,5.025017165,Downregulated
ZNF74,-1.229365435,1.229258093,33.57077271,2.66E-07,4.51E-06,6.572506559,1453,5.346259439,Downregulated
CCDC61,-1.400882462,2.327135042,27.68955663,1.97E-06,2.03E-05,6.572341713,1454,4.691572557,Downregulated
RPP25,-1.481139391,1.488269686,25.59863701,4.20E-06,3.68E-05,6.567297466,1455,4.433949637,Downregulated
ACE,-1.687603508,-0.400322357,21.23218713,2.16E-05,0.000129595,6.560412009,1456,3.887413115,Downregulated
ENDOG,-1.359030489,2.370814152,28.80562733,1.33E-06,1.50E-05,6.55672825,1457,4.824563027,Downregulated
PIEZO1,-1.424437218,4.551605961,26.91745946,2.59E-06,2.51E-05,6.553623309,1458,4.600850936,Downregulated
HDAC10,-1.428056503,3.896486516,26.80546329,2.69E-06,2.59E-05,6.551165275,1460,4.587469236,Downregulated
TMC6,-1.16226547,6.047741581,36.23512144,1.10E-07,2.32E-06,6.548292359,1461,5.634076319,Downregulated
RFNG,-1.328297432,3.667304485,29.62807612,9.96E-07,1.19E-05,6.539420108,1463,4.923159491,Downregulated
ICAM2,-1.29962299,5.052243002,30.56959121,7.20E-07,9.36E-06,6.535282741,1464,5.028598903,Downregulated
