Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
PRL,1.874961285,-1.276208901,6.793807747,0.011269292,0.025683508,2.981836528,1341,1.590345652,Upregulated
ADAMTS2,2.176200604,2.827916063,5.58009017,0.021329458,0.043143263,2.970703184,1344,1.365087014,Upregulated
ATP13A3,1.276762444,5.42089903,11.42594142,0.001258928,0.004712959,2.970651265,1345,2.326706334,Upregulated
CFAP210,1.753211719,-2.512688142,7.237836247,0.00843136,0.020377097,2.964431521,1347,1.690857693,Upregulated
CHAC1,1.455538779,-1.546947794,9.437701106,0.003071109,0.009212681,2.962915058,1349,2.035613959,Upregulated
CHMP4C,2.044842529,-0.94762603,5.997613503,0.017028073,0.035894704,2.95473535,1351,1.444969628,Upregulated
FLT1,1.378457923,1.59517609,10.16235138,0.002251284,0.007247639,2.949629011,1353,2.139803444,Upregulated
HIPK2,1.037648018,4.853919466,15.31062025,0.000229585,0.001455535,2.943783966,1355,2.836977389,Upregulated
ZNF366,1.447497144,1.696231471,9.418498731,0.003189694,0.009484564,2.928261595,1361,2.02298264,Upregulated
ABCG1,1.065201429,5.709157743,14.46884302,0.000328793,0.001827471,2.916680732,1364,2.738149473,Upregulated
RNASE2,1.260772854,7.074533252,11.31470925,0.001324135,0.004901708,2.911947283,1365,2.309652586,Upregulated
TRPS1,1.015752334,4.062597811,15.52414645,0.000209763,0.001371977,2.907746686,1367,2.862653217,Upregulated
ANKRD33B,1.080167974,3.311796577,14.11605391,0.000382823,0.002040384,2.905962949,1368,2.690288009,Upregulated
UBE2T,1.027285698,1.731694331,15.23313638,0.000237566,0.001486299,2.905055003,1370,2.827893944,Upregulated
GBP7,1.490060361,-0.890555808,8.915006654,0.004038592,0.011352664,2.89802169,1373,1.94490221,Upregulated
CDK17,1.004305085,5.126158764,15.65148513,0.000198785,0.001322018,2.891156018,1375,2.878762699,Upregulated
FNDC3A,1.052546969,5.387466047,14.50558522,0.000323645,0.001808149,2.88688992,1376,2.742765884,Upregulated
GPR75,1.335004817,-0.812810056,10.30138095,0.002111459,0.006884585,2.886443607,1377,2.162122241,Upregulated
TMEM123,1.177602004,8.654518822,12.31089591,0.000845536,0.003542204,2.885980388,1379,2.450726458,Upregulated
XAF1,1.555528766,8.283899676,8.379988329,0.005235106,0.013974664,2.884974855,1380,1.854658632,Upregulated
LANCL3,1.023242468,1.216009723,15.12127546,0.000249475,0.001531556,2.880291586,1382,2.814867128,Upregulated
GAN,1.091437591,-0.334619702,13.66713565,0.000469787,0.002364196,2.866460556,1389,2.626316503,Upregulated
CYP4F2,1.282639692,1.116153731,10.77365799,0.001698893,0.005870652,2.861971422,1390,2.231313626,Upregulated
H3C6,1.329487541,-0.4029253,10.23065954,0.002189484,0.007082144,2.858179155,1391,2.149835232,Upregulated
DNAJC6,1.072386669,-0.546954501,13.96143638,0.000413509,0.002162692,2.857916214,1392,2.665005353,Upregulated
KBTBD12,1.445631774,-2.130055061,8.961241204,0.003670368,0.010563425,2.856850641,1394,1.976195247,Upregulated
TEK,1.633131426,0.304977295,7.749641405,0.007134432,0.01788565,2.853889437,1395,1.747495266,Upregulated
COL4A4,1.300329077,0.473192302,10.5277621,0.001906027,0.006393197,2.85328859,1396,2.194281924,Upregulated
CRACR2A,1.181159521,3.048409849,12.01191911,0.000966669,0.003905037,2.844674939,1400,2.408374896,Upregulated
SIPA1L2,1.334410183,5.690666208,10.09226736,0.002323559,0.007416656,2.842015987,1401,2.129791891,Upregulated
GLDN,1.749235773,-1.473346811,6.958729676,0.010323968,0.023940317,2.83528397,1402,1.620870105,Upregulated
IFIT1B,1.589814257,2.569242498,7.956757536,0.006432022,0.016472448,2.835023328,1403,1.783241857,Upregulated
STBD1,1.145120384,1.944314213,12.47824217,0.00078539,0.003365419,2.831837956,1405,2.472960917,Upregulated
PARP11,1.124284184,3.995559665,12.72870652,0.000702272,0.003105425,2.819568651,1406,2.50787896,Upregulated
PLAAT2,1.442701668,0.245377958,8.989241678,0.003920661,0.01112428,2.818646765,1407,1.953728083,Upregulated
SLCO4C1,1.182261296,4.517791785,11.82002419,0.001053589,0.004142278,2.817045847,1408,2.382760778,Upregulated
MINDY2,1.02323755,4.276390928,14.55515544,0.000316838,0.001779888,2.813501373,1409,2.749607237,Upregulated
SMIM38,1.157951699,1.095230098,12.14092991,0.000914424,0.003758975,2.807952522,1410,2.424930611,Upregulated
GTF2H2,1.16656812,4.930120739,11.98419886,0.000978636,0.003936641,2.805449524,1413,2.404874156,Upregulated
LRP6,1.158793937,0.564043052,12.09975284,0.00093333,0.003814687,2.802590786,1414,2.41854112,Upregulated
RB1,1.006193143,5.494951498,14.7859615,0.000287016,0.00166689,2.795298133,1416,2.778093004,Upregulated
CD80,1.115238102,-1.049514717,12.70167871,0.000710804,0.003131491,2.792833715,1419,2.504248832,Upregulated
CXCL11,1.76037447,-0.582442317,6.742737162,0.011736088,0.026515969,2.775217145,1422,1.576492498,Upregulated
CYP1A1,1.706233361,-1.633434984,6.97850117,0.010157224,0.023649855,2.774628092,1423,1.626171517,Upregulated
WASHC4,1.017255893,7.037919794,14.37870917,0.000341785,0.001878564,2.773216455,1425,2.726173889,Upregulated
MLNR,1.673971181,-2.836588376,6.993829398,0.009375255,0.022174509,2.768992718,1426,1.654145991,Upregulated
VEGFC,1.234742737,-0.870380006,10.79064852,0.001685677,0.00583822,2.758069028,1433,2.23371958,Upregulated
OASL,1.47921915,7.77392945,8.430443392,0.005108994,0.013702179,2.756096456,1434,1.863210367,Upregulated
ZNF608,1.589031073,3.544842375,7.609625434,0.007625139,0.018808148,2.742117767,1438,1.725653963,Upregulated
ZBTB16,1.290027931,4.082600809,10.05377496,0.002365654,0.00751266,2.740285423,1440,2.124206272,Upregulated
PIKFYVE,1.008072073,5.778095982,14.29308737,0.000354622,0.001926359,2.737180642,1442,2.715262841,Upregulated
CRISP2,1.542569219,-1.129825723,7.858384394,0.006697101,0.017010708,2.729233176,1444,1.769277607,Upregulated
SH3TC2,1.075110004,1.934141753,12.94182456,0.000639623,0.0029115,2.726353435,1445,2.535883236,Upregulated
HIF1A,1.205730756,6.886708158,10.97261126,0.001547686,0.00548987,2.725479537,1446,2.260437932,Upregulated
KCNA2,1.073145453,0.334355301,12.98222201,0.000631684,0.002891062,2.724654693,1448,2.538942586,Upregulated
DOCK8,1.021299162,8.138775118,13.87846093,0.00042426,0.002200345,2.714111863,1449,2.657509146,Upregulated
CDK14,1.056263841,4.704470503,13.19153231,0.000572618,0.002704092,2.712462942,1452,2.567978602,Upregulated
LTBP1,1.065296139,3.435655233,12.93493516,0.000641133,0.002915872,2.700772355,1455,2.535231525,Upregulated
ELANE,2.054508655,2.113902146,5.249519407,0.025378669,0.049601864,2.680110652,1466,1.304502001,Upregulated
ZNF625,1.113297587,-1.675497271,11.87821453,0.000986273,0.00396177,2.674264056,1467,2.402110709,Upregulated
IL12A,1.172318346,-0.569146131,11.11527723,0.001459198,0.005254294,2.672282802,1469,2.279485612,Upregulated
OR52K1,1.094560029,-0.649677957,12.22539465,0.00088507,0.003664736,2.666301484,1473,2.435957291,Upregulated
RSAD2,1.943633973,8.692496736,5.602118462,0.021082587,0.042747051,2.661017297,1474,1.369093839,Upregulated
