Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
TMC5,-1.202549906,1.655292067,11.18476336,0.00140609,0.005122526,2.754459577,1435,2.290515814,Downregulated
COL23A1,-1.149019354,-0.72622052,11.89315097,0.001029169,0.0040789,2.745532314,1436,2.389456978,Downregulated
PRSS36,-1.030051385,1.844534213,13.93315791,0.000414696,0.002166515,2.744302389,1437,2.664238335,Downregulated
CABP7,-1.072846087,1.977275742,13.07907615,0.000602041,0.002781295,2.741929629,1439,2.555753022,Downregulated
FHIT,-1.150353463,2.68709121,11.81247599,0.001057371,0.004153165,2.739705787,1441,2.381620844,Downregulated
LCN8,-1.604374436,-1.37670577,7.446311882,0.008185416,0.019890632,2.729604738,1443,1.701351428,Downregulated
NECAB2,-1.19551661,3.48375258,11.09918962,0.001460792,0.005256049,2.724989552,1447,2.279340603,Downregulated
SPEG,-1.181585333,-0.209135164,11.24310813,0.001379434,0.005051309,2.713624214,1450,2.296596055,Downregulated
MRPS12,-1.049262124,2.850521481,13.32446905,0.000540276,0.00259667,2.712954482,1451,2.585583163,Downregulated
BEX2,-1.054313607,2.39893773,13.2049315,0.000569453,0.00269182,2.709537442,1453,2.569953973,Downregulated
SDSL,-1.20221033,0.696532932,10.91247499,0.00159609,0.00560697,2.706502194,1454,2.251271784,Downregulated
SPIB,-1.134497722,2.867143205,11.77108526,0.001077217,0.004208469,2.695425711,1456,2.375875824,Downregulated
ATAD3B,-1.052548855,3.100456885,13.12585011,0.000589451,0.002753476,2.694649978,1457,2.560118673,Downregulated
LGALS1,-1.021457211,7.370748215,13.70123538,0.000458229,0.002323259,2.690418556,1458,2.633902357,Downregulated
DUS3L,-1.003623612,2.428564123,14.04355287,0.000395113,0.002088705,2.689834722,1459,2.680122997,Downregulated
TGM3,-1.206551966,2.99758301,10.75424455,0.001710865,0.005898222,2.689740814,1460,2.229278878,Downregulated
GATA2,-1.012569322,2.538948274,13.86254897,0.000427327,0.00221062,2.688863583,1461,2.655485925,Downregulated
JUND,-1.067748419,6.613401169,12.80207658,0.000679815,0.003035316,2.688372727,1462,2.517796028,Downregulated
PHEX,-1.147133235,-1.206638556,11.53274174,0.00119833,0.004539767,2.687694683,1463,2.34296645,Downregulated
AURKAIP1,-1.046419243,5.064995843,13.17334863,0.000577205,0.002717649,2.684909436,1464,2.565806635,Downregulated
FOLR3,-1.315734079,6.351332568,9.524245083,0.003031951,0.009116323,2.684334735,1465,2.04018029,Downregulated
CATIP,-1.063608028,2.903187155,12.76534277,0.000691063,0.003071102,2.672534034,1468,2.512705775,Downregulated
LIPE,-1.09796325,0.553558349,12.2032288,0.000891204,0.003687992,2.671575135,1470,2.433209978,Downregulated
ETNK2,-1.120737567,-0.55081247,11.85056203,0.00104984,0.004133861,2.671439501,1471,2.38364411,Downregulated
CARMIL2,-1.072260863,3.851183815,12.58681927,0.000747874,0.003244657,2.668676293,1472,2.488831203,Downregulated
BIN1,-1.034337201,5.065232941,13.17969689,0.000575598,0.002715324,2.654293762,1476,2.56617838,Downregulated
PLEKHB1,-1.034822233,3.112230975,13.1148574,0.000592303,0.002762271,2.647834572,1478,2.558733749,Downregulated
HDAC10,-1.03257976,4.152277325,13.13427513,0.000587218,0.002746877,2.644602785,1480,2.561160782,Downregulated
GSTM1,-1.497198695,3.636797254,7.744371447,0.007135966,0.01788635,2.61632219,1488,1.747478273,Downregulated
JAG2,-1.04979266,-1.774269078,12.47014597,0.000748832,0.003246835,2.612450773,1489,2.488539758,Downregulated
ITLN1,-1.182960981,-0.846805118,10.6250593,0.001827698,0.006193142,2.612083103,1491,2.208088978,Downregulated
CD3D,-1.042898011,6.659244768,12.67006614,0.000720728,0.003162505,2.607212448,1492,2.49996876,Downregulated
SEPTIN1,-1.0001839,5.910364411,13.35650784,0.000532651,0.002571972,2.590209991,1496,2.58973374,Downregulated
APBB1,-1.035611099,3.883569977,12.65868904,0.000724404,0.003173749,2.587399177,1497,2.498427432,Downregulated
CCDC154,-1.000966767,0.302818052,13.31627698,0.00054583,0.002617484,2.58461224,1498,2.582115936,Downregulated
EPPK1,-1.034426281,-0.810890295,12.62441833,0.000742989,0.003231332,2.576361184,1501,2.490618454,Downregulated
FBXL8,-1.015583201,0.468919069,12.95080543,0.000640052,0.002912523,2.575245434,1503,2.535730634,Downregulated
LCNL1,-1.183074355,-2.406595195,10.0807878,0.002056228,0.006747154,2.568311749,1505,2.170879402,Downregulated
MTLN,-1.124150386,1.460270598,11.13402772,0.001439341,0.005204094,2.567171536,1506,2.283654899,Downregulated
SLC22A18,-1.161339537,2.935595793,10.56358309,0.001867833,0.006297475,2.555914977,1509,2.200833517,Downregulated
NDUFS6,-1.027264614,4.333119202,12.57676548,0.000751198,0.003254124,2.55538842,1510,2.487565895,Downregulated
TECR,-1.038787762,4.94141543,12.35137809,0.000830411,0.003495018,2.551834646,1512,2.456550548,Downregulated
B4GALNT4,-1.269730919,-1.410920985,9.19537082,0.003506816,0.010204467,2.528300515,1519,1.991209695,Downregulated
GPR17,-1.106384722,-1.953102408,10.95536156,0.001459816,0.00525428,2.521989377,1522,2.279486805,Downregulated
LAGE3,-1.095086223,2.068011035,11.24916598,0.001364842,0.005021096,2.517823896,1523,2.299201509,Downregulated
P3H4,-1.047437916,0.487156144,11.9689479,0.000989976,0.003968594,2.515278964,1524,2.401363294,Downregulated
MXRA8,-1.062679472,0.25670382,11.70285725,0.001117215,0.004318565,2.512876212,1527,2.364660537,Downregulated
PLIN5,-1.059154768,4.258949531,11.74626701,0.001089196,0.004242024,2.512767235,1528,2.372426875,Downregulated
