Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
TRPC1,-1.16965375,1.751894527,14.63364526,0.001167584,0.003300901,2.902340875,2623,2.481367563,Downregulated
SLC12A7,-1.212203848,4.218827025,13.79296842,0.001502101,0.004045511,2.900836019,2624,2.393026573,Downregulated
ARSK,-1.015959859,1.461683605,18.46518313,0.000400937,0.001408976,2.896599498,2626,2.851096402,Downregulated
WDR17,-1.167332448,1.418147501,14.62486849,0.00117131,0.003307764,2.895527879,2627,2.480465512,Downregulated
NEFL,-1.418419486,0.234099864,10.77649735,0.004003379,0.009179093,2.8896045,2629,2.037200228,Downregulated
FAM156A,-1.101528914,-1.564838827,15.86141975,0.000780365,0.002382808,2.889212287,2630,2.622910982,Downregulated
SLC41A1,-1.105865412,4.343117995,15.83466781,0.000822692,0.002483477,2.880712805,2632,2.604939782,Downregulated
CXCR5,-1.551209414,2.82783439,9.344955139,0.00656635,0.013902065,2.880472832,2633,1.856920675,Downregulated
CYP2J2,-1.51611847,-1.428894674,9.486901787,0.005999754,0.012843365,2.867466958,2637,1.891321169,Downregulated
ZNF257,-1.216076729,1.189276908,13.4191029,0.00168818,0.004462695,2.858270151,2638,2.350402801,Downregulated
MB21D2,-1.164046885,1.144918107,14.34258358,0.001275023,0.003539269,2.853179535,2640,2.451086439,Downregulated
SMYD5,-1.026295907,3.76389131,17.67164565,0.000494483,0.001662501,2.852320623,2643,2.779238037,Downregulated
COL5A2,-1.142798749,-0.281403467,14.54891401,0.001217974,0.003409398,2.819652899,2655,2.467322354,Downregulated
ZBED2,-1.54841831,1.09797458,9.069045384,0.00727301,0.015134086,2.818189161,2656,1.82004381,Downregulated
FAM171B,-1.267462052,-1.596760631,12.11094014,0.002408292,0.006012,2.815009181,2657,2.220981036,Downregulated
CALML6,-1.272690422,-1.383279011,12.06343127,0.002527262,0.006256275,2.804607777,2659,2.203684202,Downregulated
GPR146,-1.406171925,-1.307572223,10.33849177,0.004522655,0.010132625,2.804297806,2660,1.994278051,Downregulated
DIP2C,-1.345068655,1.559461315,11.119007,0.003539745,0.008261463,2.801701412,2663,2.082943054,Downregulated
GADD45GIP1,-1.004576087,-0.09442933,17.80571214,0.000485281,0.001640184,2.797852212,2667,2.785107318,Downregulated
FCRLA,-1.38310625,3.463342034,10.63702712,0.004165476,0.009489269,2.797702011,2668,2.022767239,Downregulated
KLKB1,-1.262227864,0.836375453,12.23294667,0.002458168,0.006118524,2.793756272,2671,2.213353351,Downregulated
P2RY4,-1.204684175,-1.705436313,12.86054627,0.001864888,0.004847339,2.788237489,2673,2.314496651,Downregulated
SYNM,-1.443702485,3.3400636,9.855311829,0.005469697,0.011868245,2.780012992,2676,1.925613498,Downregulated
PURA,-1.051417793,3.884162203,16.17715093,0.000746553,0.002299962,2.773933777,2677,2.638279278,Downregulated
ZNF19,-1.00580433,1.56710382,17.30732051,0.000546472,0.001793675,2.762196521,2678,2.746256344,Downregulated
BCL7A,-1.415839415,2.174182733,10.01665395,0.005168564,0.01132674,2.755074927,2682,1.945895063,Downregulated
KCNQ3,-1.420836574,-1.561908147,9.801477653,0.005303947,0.011573652,2.751492044,2683,1.936529572,Downregulated
VASH1,-1.202509365,4.19372283,12.84883502,0.002013175,0.00517366,2.749179498,2684,2.286202152,Downregulated
SPIRE2,-1.071346732,-0.374828412,15.51764477,0.000919702,0.002724476,2.747701136,2685,2.564716961,Downregulated
SYTL2,-1.196329145,4.865440663,12.85585072,0.002008654,0.005167254,2.735693967,2689,2.286740216,Downregulated
CYP3A4,-1.350084792,-1.654873362,10.48381133,0.004126935,0.009425066,2.734887796,2690,2.025715578,Downregulated
GRM2,-1.057355784,0.221393811,15.66109575,0.000873061,0.002614464,2.730745377,2691,2.582617335,Downregulated
CYP2S1,-1.199033254,0.964974652,12.73775877,0.002090555,0.005344486,2.724316293,2693,2.272094027,Downregulated
RAB9B,-1.179253427,-0.854052591,13.00440486,0.001949711,0.005036984,2.709723216,2694,2.297829417,Downregulated
DUSP8,-1.567152541,0.932655677,8.395598782,0.009345708,0.01872438,2.707401077,2695,1.727592565,Downregulated
B3GNT7,-1.837900787,1.94898753,6.623861067,0.018744326,0.033831676,2.702957481,2698,1.470676492,Downregulated
SLC2A8,-1.048413753,-0.382406313,15.59942461,0.000898318,0.002678137,2.696695558,2700,2.572167287,Downregulated
CASD1,-1.02471869,4.612479026,15.91786323,0.000803412,0.002438568,2.677451762,2704,2.612865158,Downregulated
ZNF69,-1.011924571,1.171952167,16.17759587,0.000748064,0.002304057,2.668957837,2706,2.637506702,Downregulated
CAMSAP2,-1.06114791,2.724709826,14.89311853,0.001080725,0.003100756,2.661923904,2707,2.508532391,Downregulated
FUOM,-1.066986228,-0.654011147,14.76890277,0.001146316,0.003253045,2.654352246,2711,2.48770994,Downregulated
ZNF112,-1.433464116,-0.946068879,9.306113407,0.006682849,0.014101842,2.652946687,2712,1.850724171,Downregulated
SLC12A3,-1.553774425,-0.320424376,8.25494685,0.009931042,0.019687448,2.650444864,2715,1.705810587,Downregulated
ZNF84,-1.085836739,4.678622328,14.22491993,0.001317883,0.003635451,2.648835466,2716,2.439441741,Downregulated
GIPR,-1.053342172,2.433915044,14.93746936,0.001066842,0.003070015,2.646900899,2717,2.512859514,Downregulated
DAGLA,-1.139135398,-0.199477784,13.20520942,0.001826978,0.004775017,2.643961778,2718,2.321025036,Downregulated
TAS2R31,-1.13680552,-0.71535967,13.25406621,0.001807978,0.004732243,2.642996601,2719,2.324932941,Downregulated
CD160,-1.018135372,3.540068675,15.68999375,0.000857455,0.002573779,2.636388925,2721,2.589428673,Downregulated
SLC38A11,-1.440754055,1.4673147,9.126777542,0.007114174,0.014859397,2.633696684,2722,1.8279988,Downregulated
METRN,-1.297627369,-1.58682591,10.54068035,0.004109806,0.009394369,2.630462444,2724,2.02713237,Downregulated
MRI1,-1.024236985,4.30335684,15.47341216,0.000912499,0.002707974,2.629580424,2725,2.567355469,Downregulated
ABCG2,-1.437039395,-0.635435167,9.140555012,0.00714722,0.014908864,2.624832131,2730,1.826555444,Downregulated
TFDP2,-1.028345299,5.603184771,15.317767,0.000954462,0.002810006,2.623609929,2731,2.551292774,Downregulated
SLC26A1,-1.069399146,-1.43004273,14.24688344,0.001287933,0.003568992,2.617305632,2732,2.447454387,Downregulated
PLCXD2,-1.149551572,2.288685153,12.66698344,0.00213313,0.005434788,2.603524349,2734,2.264817354,Downregulated
ACER1,-1.203887735,-0.827914973,11.79703689,0.002865529,0.006925437,2.599859187,2738,2.159552847,Downregulated
ATP1B1,-1.070560457,1.081589159,14.11056746,0.001367112,0.003738956,2.598517486,2739,2.427249642,Downregulated
NKG7,-1.202296304,6.785728758,11.70514499,0.002909633,0.007017382,2.589535701,2742,2.153824887,Downregulated
DBNDD1,-1.330608986,-0.772359077,9.98508557,0.005284232,0.011538539,2.578519521,2747,1.937849171,Downregulated
SLC5A10,-1.109129774,-1.383658001,13.10905969,0.001833317,0.004781865,2.573627713,2748,2.320402692,Downregulated
COX20,-1.022599443,-0.397194844,14.96739048,0.001078203,0.003094915,2.566061256,2752,2.509351315,Downregulated
GOLGA8A,-1.047971116,6.738539123,14.28510034,0.001294245,0.003581101,2.563320041,2753,2.445983484,Downregulated
PTGS2,-1.575206436,8.798185991,7.677187958,0.01228367,0.023690161,2.560390926,2754,1.625431986,Downregulated
ZNF594,-1.280409225,2.649049267,10.43012016,0.004473683,0.010038796,2.558665268,2755,1.998318364,Downregulated
RUNX3,-1.193421986,6.977837354,11.55868919,0.003053664,0.007301167,2.549874596,2757,2.136607692,Downregulated
C1orf21,-1.460115715,4.683291072,8.517547468,0.008905561,0.017942964,2.549516551,2758,1.746105822,Downregulated
CABP4,-1.382537161,1.244619528,9.185182003,0.006966539,0.014598904,2.537895448,2760,1.835679734,Downregulated
DEPDC7,-1.337157861,-0.050690135,9.670247591,0.005895908,0.012657225,2.537472979,2761,1.897661491,Downregulated
RAD54B,-1.018036502,0.817487116,14.67935747,0.001154664,0.003269453,2.530355032,2766,2.485524858,Downregulated
N4BP3,-1.156663847,1.205611262,11.99044729,0.002654685,0.006509726,2.528972957,2767,2.186437282,Downregulated
IKZF3,-1.017198901,7.522346727,14.6735543,0.001152745,0.003266195,2.528713636,2768,2.485957894,Downregulated
PPP2R2B,-1.322826247,2.014032741,9.684866534,0.005813205,0.012504967,2.517229137,2769,1.902917441,Downregulated
TCTN2,-1.073759518,1.589906373,13.36075301,0.00171714,0.004527824,2.517010935,2770,2.344110477,Downregulated
BOK,-1.300966397,-0.50379295,9.94137112,0.005374891,0.011696402,2.513399079,2771,1.931947731,Downregulated
PYHIN1,-1.255211388,4.99686839,10.45749975,0.004430648,0.00995977,2.512620244,2772,2.001750675,Downregulated
ZNF883,-1.109470218,0.178370847,12.68598225,0.002137227,0.005441961,2.512111889,2773,2.264244545,Downregulated
SORCS3,-1.725750379,0.921534894,6.524320266,0.019559683,0.035054981,2.511398694,2775,1.455250264,Downregulated
XCL2,-1.295716734,1.056474079,9.945349242,0.005307584,0.011579604,2.508904471,2776,1.936306297,Downregulated
FAM229B,-1.045232187,0.093318986,13.89500448,0.001470848,0.003980696,2.508600097,2777,2.400040992,Downregulated
JMY,-1.157476941,5.46439133,11.80388967,0.002816806,0.006838819,2.505959407,2778,2.165018859,Downregulated
NTN5,-1.169850778,-1.419397976,11.50236804,0.003057716,0.007308113,2.499029103,2780,2.136194761,Downregulated
CCL28,-1.048082031,3.073601917,13.68686014,0.00155178,0.004160836,2.495294055,2781,2.380819422,Downregulated
FASLG,-1.460893688,1.611299028,8.220850798,0.009968865,0.019750136,2.489990888,2782,1.704429904,Downregulated
TOM1L1,-1.135952994,0.044411729,12.01838407,0.002651818,0.006503948,2.484128074,2783,2.186822946,Downregulated
IGSF22,-1.028798607,0.308082619,13.9905191,0.001424848,0.003879276,2.480689907,2784,2.411249287,Downregulated
SLC9A3,-1.250563403,-0.34176175,10.31406549,0.004715498,0.010492703,2.475005824,2786,1.979112629,Downregulated
PLEKHA5,-1.092544177,1.91195205,12.62919319,0.002159376,0.005486297,2.469937181,2789,2.260720648,Downregulated
PRSS23,-1.346226871,3.616327894,9.162455873,0.007015612,0.014684831,2.46781026,2790,1.833131037,Downregulated
GDPD5,-1.004704147,2.862452192,14.3615155,0.001265213,0.003517579,2.465299031,2791,2.453756201,Downregulated
SLFN12L,-1.085945221,4.790465753,12.69125882,0.002115978,0.005399729,2.4625198,2794,2.267628009,Downregulated
ACSM1,-1.057883061,-0.418895377,13.24457014,0.00180949,0.004734257,2.459311667,2796,2.32474813,Downregulated
ZSWIM5,-1.10648766,1.444369452,12.30204532,0.002398808,0.005990672,2.459195864,2797,2.222524438,Downregulated
ZCCHC18,-1.029810088,1.292902071,13.72497373,0.001535904,0.004129652,2.455156402,2800,2.384086572,Downregulated
ZNF275,-1.01052974,4.576235073,14.11222367,0.001363385,0.003731076,2.453733877,2801,2.42816592,Downregulated
WNK3,-1.348657415,-1.445706702,8.95470296,0.007380923,0.015318602,2.447517664,2804,1.814780861,Downregulated
ADGRG1,-1.258729886,5.509063976,9.921600102,0.005342483,0.011643779,2.434265326,2806,1.933906037,Downregulated
STK32C,-1.136072948,-0.044618716,11.6301877,0.003013637,0.007220372,2.432832549,2807,2.141440435,Downregulated
TMEM160,-1.010097767,-1.454990649,13.80302648,0.001477458,0.003996037,2.422588727,2808,2.398370539,Downregulated
PRH2,-1.133958546,-0.859898636,11.597669,0.003059894,0.007309205,2.422282674,2809,2.136129829,Downregulated
ZNF391,-1.309590317,-0.156521675,9.313896035,0.006703809,0.014141384,2.422097884,2810,1.849508088,Downregulated
