Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category,-log10(P)
TPST1,4.406038,6.680044637999999,129.48091829999998,7.47e-10,1.0447813636363637e-07,30.758439288671834,20,6.364006688,Upregulated,6.980974582759349
ALOX15B,5.136398384,3.1073064930000003,71.67165945,8.32e-08,1.1664627272727272e-06,30.47491489561737,21,5.350402893,Upregulated,5.933129133937009
DAAM2,5.514703835,6.885294117999999,56.667955299999996,4.48e-07,3.1047207207207207e-06,30.374864421033227,22,4.940095909,Upregulated,5.507977459869017
AKAP12,-3.986038965,2.094523128,171.4054029,8.229999999999999e-11,3.1654637499999997e-08,29.893548965410282,23,6.8826174589999995,Downregulated,7.499562655532215
SAP30,4.589923601000001,5.14835296,100.57985240000001,5.789999999999999e-09,3.367283018867924e-07,29.709292033873616,24,5.855699062,Upregulated,6.472720379790394
CPA3,-3.9848544130000003,1.905008704,147.9900747,2.87e-10,5.5193687499999996e-08,28.922514013306362,25,6.6413226089999995,Downregulated,7.258110589674474
GLDN,4.6246457439999995,0.783032561,79.26419013,3.18e-08,7.412772727272728e-07,28.34916773563211,26,5.5255706270000005,Upregulated,6.130019314973959
MMP8,4.698811162,6.118140781,72.94647159,7e-08,1.0558333333333335e-06,28.08199678954276,27,5.390167745,Upregulated,5.976404631164184
MS4A2,-4.162790659,2.49615031,117.4559312,1.8100000000000002e-09,1.7965709677419358e-07,28.080335936013874,28,6.129196595,Downregulated,6.74555562271763
GRB10,4.415484385,6.74649141,91.96294541,1.18e-08,4.482543209876543e-07,28.031594506472658,29,5.726943583,Upregulated,6.348475515325066
SFRP2,4.240011223,-0.42708703299999995,90.76968964,3.08e-09,2.4939894736842105e-07,27.99724093425589,30,5.986227153,Upregulated,6.6031053838689076
FGFR2,-4.617729423,-0.020142946999999998,53.91118283,8.58e-08,1.1799745535714284e-06,27.37448812550751,31,5.346648668,Downregulated,5.9281273582554626
SEZ6L,-3.801105777,0.282795725,126.72431509999998,4.3900000000000003e-10,7.945900000000001e-08,26.987307097045754,32,6.483219857999999,Downregulated,7.099856904888694
IL18R1,4.1673789480000005,8.818316868,90.73830696,1.31e-08,4.687058139534884e-07,26.37575668012893,33,5.718695339,Upregulated,6.329099659340345
RNASE1,5.33007906,3.5690345310000002,43.07580743,3.03e-06,1.1342226277372262e-05,26.358848998124063,34,4.416718487,Upregulated,4.945301692790287
SFRP1,4.773719799999999,0.8747982759999999,55.85998097,4.2600000000000003e-07,3.013337931034483e-06,26.355478648704008,35,4.952562592,Upregulated,5.52095216160446
TMIGD3,4.666238368999999,4.322456999,61.06356158,2.62e-07,2.309954154727794e-06,26.30077026163349,36,5.065403466999999,Upregulated,5.636396639391976
ABCC11,4.770985036,0.78358259,54.15301015,5.06e-07,3.34112017167382e-06,26.126428863610016,37,4.908664165,Upregulated,5.476107903602743
RNF175,3.3090284739999998,5.921503115,207.4887927,1.39e-11,1.4256766666666668e-08,25.96256777914858,38,7.228108372,Upregulated,7.845978958218109
